iin	I(Iin)	I(V1)
4.819999999999964e-006	4.820000e-006	5.141554e-006
4.829999999999964e-006	4.830000e-006	5.152081e-006
4.839999999999964e-006	4.840000e-006	5.162609e-006
4.849999999999964e-006	4.850000e-006	5.173137e-006
4.859999999999964e-006	4.860000e-006	5.183664e-006
4.869999999999964e-006	4.870000e-006	5.194191e-006
4.879999999999963e-006	4.880000e-006	5.204717e-006
4.889999999999963e-006	4.890000e-006	5.215244e-006
4.899999999999963e-006	4.900000e-006	5.225770e-006
4.909999999999963e-006	4.910000e-006	5.236295e-006
4.919999999999963e-006	4.920000e-006	5.246821e-006
4.929999999999963e-006	4.930000e-006	5.257346e-006
4.939999999999963e-006	4.940000e-006	5.267871e-006
4.949999999999963e-006	4.950000e-006	5.278396e-006
4.959999999999963e-006	4.960000e-006	5.288920e-006
4.969999999999963e-006	4.970000e-006	5.299444e-006
4.979999999999963e-006	4.980000e-006	5.309968e-006
4.989999999999962e-006	4.990000e-006	5.320492e-006
4.999999999999962e-006	5.000000e-006	5.331015e-006
5.009999999999962e-006	5.010000e-006	5.341538e-006
5.019999999999962e-006	5.020000e-006	5.352061e-006
5.029999999999962e-006	5.030000e-006	5.362584e-006
5.039999999999962e-006	5.040000e-006	5.373106e-006
5.049999999999962e-006	5.050000e-006	5.383628e-006
5.059999999999962e-006	5.060000e-006	5.394150e-006
5.069999999999962e-006	5.070000e-006	5.404672e-006
5.079999999999962e-006	5.080000e-006	5.415193e-006
5.089999999999961e-006	5.090000e-006	5.425714e-006
5.099999999999961e-006	5.100000e-006	5.436235e-006
5.109999999999961e-006	5.110000e-006	5.446755e-006
5.119999999999961e-006	5.120000e-006	5.457276e-006
5.129999999999961e-006	5.130000e-006	5.467796e-006
